ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
262,262,0,0
263,263,0,0
264,264,0,0
265,265,0,0
266,266,0,0
267,267,0,0
268,268,0,0
269,269,0,0
270,270,0,0
271,271,0,0
272,272,0,0
273,273,0,0
274,274,0,0
275,275,0,0
276,276,0,0
277,277,0,0
278,278,0,0
279,279,0,0
280,281,1,1
280,283,2,2
280,287,2,2
280,365,1,1
280,282,2,2
280,280,0,0
280,288,1,1
280,364,1,1
280,286,2,2
280,362,2,2
280,308,2,2
280,285,1,1
280,284,2,2
280,366,2,2
280,363,2,2
281,284,1,1
281,283,1,1
281,281,0,0
281,362,1,1
281,282,1,1
282,282,0,0
283,283,0,0
284,284,0,0
285,285,0,0
285,287,1,1
285,308,1,1
285,286,1,1
285,363,1,1
286,286,0,0
287,287,0,0
288,288,0,0
289,367,2,2
289,374,2,2
289,293,1,1
289,371,1,1
289,290,1,1
289,289,0,0
289,369,1,1
289,292,2,2
289,368,2,2
289,294,1,1
289,291,2,2
289,372,1,1
289,373,2,2
289,370,1,1
290,290,0,0
290,292,1,1
290,368,1,1
290,291,1,1
290,367,1,1
291,291,0,0
292,292,0,0
293,293,0,0
294,294,0,0
294,374,1,1
294,373,1,1
295,297,3,3
295,383,1,1
295,375,1,1
295,382,2,2
295,312,1,1
295,389,4,4
295,390,4,4
295,376,3,3
295,314,2,2
295,401,2,2
295,396,2,2
295,388,4,4
295,380,3,3
295,392,3,3
295,377,3,3
295,303,4,4
295,310,2,2
295,302,2,2
295,346,2,2
295,400,1,1
295,296,2,2
295,399,2,2
295,313,2,2
295,298,3,3
295,398,2,2